Ticker,2023-12-29
AMZN,151.94000244140625
TRV,183.41680908203125
AAPL,190.55044555664062
IBM,152.9960479736328
HD,327.8445739746094
MCD,281.32452392578125
WMT,51.329898834228516
MRK,101.52633666992188
CAT,286.00439453125
JNJ,146.637939453125
MSFT,369.6718444824219
VZ,32.504127502441406
AMGN,268.8959655761719
NKE,103.60147094726562
GS,367.1807556152344
KO,55.16545104980469
MMM,86.31819152832031
JPM,161.1337127685547
CSCO,47.18780517578125
AXP,182.16851806640625
NVDA,49.49174499511719
UNH,501.99298095703125
V,256.0248718261719
HON,188.45018005371094
DIS,88.50013732910156
CVX,135.34014892578125
BA,260.6600036621094
CRM,259.9812316894531
SHW,305.90057373046875
PG,138.31805419921875
