Stock,Weight,2023-12-29,Cost of Shares
VTC,74,69.79706573486328,5164.982864379883
USTB,6023,44.46988677978516,267842.12807464605
SLQD,3052,44.9799690246582,137278.86546325684
AMZN,1,151.94000244140625,151.94000244140625
AMH,109,33.36899948120117,3637.2209434509277
AGZD,9945,20.01561546325684,199055.29578208926
CAT,15,286.0043640136719,4290.065460205078
VCSH,1232,70.40776062011719,86742.36108398438
CCI,12,101.96200561523438,1223.5440673828125
HD,1,327.8446350097656,327.8446350097656
NLY-PG,551,20.123836517333984,11088.233921051025
IGSB,1612,46.57141876220703,75073.12704467773
LDSF,3653,17.00745391845703,62128.229164123535
EQR,18,55.76712417602539,1003.808235168457
PG,70,138.31805419921875,9682.263793945312
SLV,65,21.780000686645508,1415.700044631958
EMCB,478,56.640716552734375,27074.26251220703
QUBT,1,0.912999987602234,0.912999987602234
BPYPP,80,10.1373872756958,810.9909820556641
HYLS,167,36.00749206542969,6013.251174926758
